namespace,node,nodepool,replicaset,owner_kind,instance_type,pods_count
clickhouse,ip-172-16-54-198.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-4-1,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-57-199.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-0-0,StatefulSet,c6a.8xlarge,1
clickhouse,ip-172-16-58-70.ec2.internal,clickhouse,chi-clickhouse-signoz-ch-cluster-7-0,StatefulSet,c6a.8xlarge,1
events,ip-172-16-16-30.ec2.internal,events,otel-o11y-ob3-janus-events-opentelemetry-collector-57bb47c4d4,Deployment,r7g.2xlarge,3
events,ip-172-16-234-130.ec2.internal,events,otel-o11y-ob3-janus-events-opentelemetry-collector-57bb47c4d4,Deployment,r7g.2xlarge,2
events,ip-172-16-37-111.ec2.internal,events,otel-o11y-ob3-janus-events-opentelemetry-collector-57bb47c4d4,Deployment,r7g.2xlarge,2
events,ip-172-16-47-185.ec2.internal,events,otel-o11y-ob3-janus-events-opentelemetry-collector-57bb47c4d4,Deployment,r7g.2xlarge,3
external-dns,ip-172-16-60-164.ec2.internal,default,external-dns-5bc9cdc757,Deployment,m6g.xlarge,1
external-dns-public,ip-172-16-243-27.ec2.internal,default,external-dns-public-86666d7cc9,Deployment,a1.2xlarge,1
external-secrets,ip-172-16-46-166.ec2.internal,default,external-secrets-6c7bc6b994,Deployment,c6a.2xlarge,1
external-secrets,ip-172-16-54-132.ec2.internal,default,external-secrets-webhook-588c4648bb,Deployment,c6a.2xlarge,1
external-secrets,ip-172-16-60-164.ec2.internal,default,external-secrets-cert-controller-6f6cc49f86,Deployment,m6g.xlarge,1
grafana,ip-172-16-241-199.ec2.internal,default,grafana-vtex-image-renderer-57647c586,Deployment,c6a.xlarge,1
grafana,ip-172-16-46-166.ec2.internal,default,grafana-vtex-674df7d7b,Deployment,c6a.2xlarge,1
grafana,ip-172-16-53-243.ec2.internal,default,grafana-vtex-674df7d7b,Deployment,c6a.2xlarge,1
grafana,ip-172-16-54-132.ec2.internal,default,grafana-vtex-674df7d7b,Deployment,c6a.2xlarge,1
istio-operator,ip-172-16-54-132.ec2.internal,default,istio-operator-5649c59868,Deployment,c6a.2xlarge,1
istio-system,ip-172-16-226-163.ec2.internal,default,istio-auth-ingressgateway-6b7dd5fc9,Deployment,c6a.xlarge,1
istio-system,ip-172-16-226-163.ec2.internal,default,istio-internal-gauth-ingressgateway-7649f89c94,Deployment,c6a.xlarge,1
istio-system,ip-172-16-226-163.ec2.internal,default,istio-internal-ingressgateway-5f9ffff58d,Deployment,c6a.xlarge,1
istio-system,ip-172-16-226-163.ec2.internal,default,istio-public-ingressgateway-566b986f8d,Deployment,c6a.xlarge,1
istio-system,ip-172-16-227-236.ec2.internal,default,istio-internal-gauth-ingressgateway-7649f89c94,Deployment,a1.xlarge,1
istio-system,ip-172-16-227-236.ec2.internal,default,istio-internal-ingressgateway-5f9ffff58d,Deployment,a1.xlarge,4
istio-system,ip-172-16-237-1.ec2.internal,default,istio-internal-ingressgateway-5f9ffff58d,Deployment,a1.xlarge,3
istio-system,ip-172-16-241-199.ec2.internal,default,istio-public-ingressgateway-566b986f8d,Deployment,c6a.xlarge,1
istio-system,ip-172-16-241-199.ec2.internal,default,istiod-6bb45f897b,Deployment,c6a.xlarge,1
istio-system,ip-172-16-243-27.ec2.internal,default,istio-auth-ingressgateway-6b7dd5fc9,Deployment,a1.2xlarge,1
istio-system,ip-172-16-243-27.ec2.internal,default,istio-internal-gauth-ingressgateway-7649f89c94,Deployment,a1.2xlarge,2
istio-system,ip-172-16-243-27.ec2.internal,default,istio-internal-ingressgateway-5f9ffff58d,Deployment,a1.2xlarge,5
istio-system,ip-172-16-243-27.ec2.internal,default,istio-public-ingressgateway-566b986f8d,Deployment,a1.2xlarge,1
istio-system,ip-172-16-243-27.ec2.internal,default,istio-public-pinkies-ingressgateway-8566b9c59d,Deployment,a1.2xlarge,4
istio-system,ip-172-16-245-249.ec2.internal,default,istio-auth-ingressgateway-6b7dd5fc9,Deployment,a1.xlarge,1
istio-system,ip-172-16-245-249.ec2.internal,default,istio-internal-gauth-ingressgateway-7649f89c94,Deployment,a1.xlarge,1
istio-system,ip-172-16-245-249.ec2.internal,default,istio-internal-ingressgateway-5f9ffff58d,Deployment,a1.xlarge,3
istio-system,ip-172-16-245-249.ec2.internal,default,istio-public-ingressgateway-566b986f8d,Deployment,a1.xlarge,1
istio-system,ip-172-16-245-249.ec2.internal,default,istio-public-pinkies-ingressgateway-8566b9c59d,Deployment,a1.xlarge,1
istio-system,ip-172-16-25-225.ec2.internal,default,istio-auth-ingressgateway-6b7dd5fc9,Deployment,c6a.xlarge,1
istio-system,ip-172-16-25-225.ec2.internal,default,istio-internal-ingressgateway-5f9ffff58d,Deployment,c6a.xlarge,2
istio-system,ip-172-16-42-62.ec2.internal,default,istio-auth-ingressgateway-6b7dd5fc9,Deployment,c6a.xlarge,2
istio-system,ip-172-16-42-62.ec2.internal,default,istio-internal-ingressgateway-5f9ffff58d,Deployment,c6a.xlarge,2
istio-system,ip-172-16-46-166.ec2.internal,default,istio-auth-ingressgateway-6b7dd5fc9,Deployment,c6a.2xlarge,1
istio-system,ip-172-16-46-166.ec2.internal,default,istio-internal-gauth-ingressgateway-7649f89c94,Deployment,c6a.2xlarge,2
istio-system,ip-172-16-46-166.ec2.internal,default,istio-internal-ingressgateway-5f9ffff58d,Deployment,c6a.2xlarge,2
istio-system,ip-172-16-46-166.ec2.internal,default,istio-public-ingressgateway-566b986f8d,Deployment,c6a.2xlarge,2
istio-system,ip-172-16-46-166.ec2.internal,default,istio-public-pinkies-ingressgateway-8566b9c59d,Deployment,c6a.2xlarge,1
istio-system,ip-172-16-53-243.ec2.internal,default,istio-internal-gauth-ingressgateway-7649f89c94,Deployment,c6a.2xlarge,1
istio-system,ip-172-16-53-243.ec2.internal,default,istio-internal-ingressgateway-5f9ffff58d,Deployment,c6a.2xlarge,2
istio-system,ip-172-16-53-243.ec2.internal,default,istio-public-ingressgateway-566b986f8d,Deployment,c6a.2xlarge,1
istio-system,ip-172-16-53-243.ec2.internal,default,istio-public-pinkies-ingressgateway-8566b9c59d,Deployment,c6a.2xlarge,1
istio-system,ip-172-16-54-132.ec2.internal,default,istio-auth-ingressgateway-6b7dd5fc9,Deployment,c6a.2xlarge,2
istio-system,ip-172-16-54-132.ec2.internal,default,istio-internal-gauth-ingressgateway-7649f89c94,Deployment,c6a.2xlarge,1
istio-system,ip-172-16-54-132.ec2.internal,default,istio-internal-ingressgateway-5f9ffff58d,Deployment,c6a.2xlarge,2
istio-system,ip-172-16-54-132.ec2.internal,default,istio-public-ingressgateway-566b986f8d,Deployment,c6a.2xlarge,2
istio-system,ip-172-16-54-132.ec2.internal,default,istio-public-pinkies-ingressgateway-8566b9c59d,Deployment,c6a.2xlarge,2
istio-system,ip-172-16-60-164.ec2.internal,default,istio-auth-ingressgateway-6b7dd5fc9,Deployment,m6g.xlarge,1
istio-system,ip-172-16-60-164.ec2.internal,default,istio-internal-gauth-ingressgateway-7649f89c94,Deployment,m6g.xlarge,1
istio-system,ip-172-16-60-164.ec2.internal,default,istio-internal-ingressgateway-5f9ffff58d,Deployment,m6g.xlarge,2
istio-system,ip-172-16-60-164.ec2.internal,default,istio-public-ingressgateway-566b986f8d,Deployment,m6g.xlarge,1
istio-system,ip-172-16-60-164.ec2.internal,default,istio-public-pinkies-ingressgateway-8566b9c59d,Deployment,m6g.xlarge,1
istio-system,ip-172-16-60-164.ec2.internal,default,istiod-6bb45f897b,Deployment,m6g.xlarge,1
kube-system,ip-172-16-191-226.ec2.internal,default,coredns-57d4d7549d,Deployment,t3.medium,1
kube-system,ip-172-16-196-60.ec2.internal,default,coredns-57d4d7549d,Deployment,t3.medium,1
kube-system,ip-172-16-219-140.ec2.internal,default,coredns-57d4d7549d,Deployment,t3.medium,1
kube-system,ip-172-16-223-182.ec2.internal,default,ebs-csi-controller-7887658d9b,Deployment,t3.medium,1
kube-system,ip-172-16-234-161.ec2.internal,default,ebs-csi-controller-7887658d9b,Deployment,t3.medium,1
kube-system,ip-172-16-235-163.ec2.internal,default,coredns-57d4d7549d,Deployment,t3.medium,1
kube-system,ip-172-16-31-45.ec2.internal,default,coredns-57d4d7549d,Deployment,t3.medium,2
kube-system,ip-172-16-53-243.ec2.internal,default,metrics-server-6b6f859bfb,Deployment,c6a.2xlarge,1
logs,ip-172-16-21-242.ec2.internal,logs,otel-o11y-ob3-logs-developer-opentelemetry-collector-8bb7bdb8d,Deployment,r7g.2xlarge,1
logs,ip-172-16-21-242.ec2.internal,logs,otel-o11y-ob3-logs-opentelemetry-collector-556cccd4f8,Deployment,r7g.2xlarge,1
logs,ip-172-16-21-242.ec2.internal,logs,otel-o11y-ob3-logs-tech-infra-opentelemetry-collector-789f6df7c6,Deployment,r7g.2xlarge,1
logs,ip-172-16-214-219.ec2.internal,logs,otel-o11y-ob3-logs-o11y-platform-opentelemetry-collector-779569b49f,Deployment,r7g.2xlarge,1
logs,ip-172-16-214-219.ec2.internal,logs,otel-o11y-ob3-logs-opentelemetry-collector-556cccd4f8,Deployment,r7g.2xlarge,1
logs,ip-172-16-224-65.ec2.internal,logs,otel-o11y-ob3-logs-beta-opentelemetry-collector-844d7d769c,Deployment,r7g.2xlarge,1
logs,ip-172-16-224-65.ec2.internal,logs,otel-o11y-ob3-logs-developer-opentelemetry-collector-8bb7bdb8d,Deployment,r7g.2xlarge,2
logs,ip-172-16-235-24.ec2.internal,logs,otel-o11y-ob3-logs-developer-opentelemetry-collector-8bb7bdb8d,Deployment,r7g.2xlarge,2
logs,ip-172-16-235-24.ec2.internal,logs,otel-o11y-ob3-logs-opentelemetry-collector-556cccd4f8,Deployment,r7g.2xlarge,1
logs,ip-172-16-235-53.ec2.internal,logs,otel-o11y-ob3-logs-o11y-platform-opentelemetry-collector-779569b49f,Deployment,r7g.2xlarge,1
logs,ip-172-16-235-53.ec2.internal,logs,otel-o11y-ob3-logs-tech-infra-opentelemetry-collector-789f6df7c6,Deployment,r7g.2xlarge,1
logs,ip-172-16-245-48.ec2.internal,logs,otel-o11y-ob3-logs-developer-opentelemetry-collector-8bb7bdb8d,Deployment,r7g.2xlarge,1
logs,ip-172-16-245-48.ec2.internal,logs,otel-o11y-ob3-logs-opentelemetry-collector-556cccd4f8,Deployment,r7g.2xlarge,1
logs,ip-172-16-245-48.ec2.internal,logs,redis-o11y-ob3-stable-master-6bd68c498,Deployment,r7g.2xlarge,1
logs,ip-172-16-251-89.ec2.internal,logs,otel-o11y-ob3-logs-opentelemetry-collector-556cccd4f8,Deployment,r7g.2xlarge,2
logs,ip-172-16-28-19.ec2.internal,logs,otel-o11y-ob3-logs-developer-opentelemetry-collector-8bb7bdb8d,Deployment,r7g.2xlarge,2
logs,ip-172-16-28-19.ec2.internal,logs,otel-o11y-ob3-logs-opentelemetry-collector-556cccd4f8,Deployment,r7g.2xlarge,1
logs,ip-172-16-41-87.ec2.internal,logs,otel-o11y-ob3-logs-opentelemetry-collector-556cccd4f8,Deployment,r7g.2xlarge,2
logs,ip-172-16-46-9.ec2.internal,logs,otel-o11y-ob3-logs-beta-opentelemetry-collector-844d7d769c,Deployment,r7g.2xlarge,1
logs,ip-172-16-46-9.ec2.internal,logs,otel-o11y-ob3-logs-tech-infra-opentelemetry-collector-789f6df7c6,Deployment,r7g.2xlarge,1
logs,ip-172-16-54-253.ec2.internal,logs,otel-o11y-ob3-logs-developer-opentelemetry-collector-8bb7bdb8d,Deployment,r7g.2xlarge,2
logs,ip-172-16-54-253.ec2.internal,logs,otel-o11y-ob3-logs-opentelemetry-collector-556cccd4f8,Deployment,r7g.2xlarge,1
metrics,ip-172-16-212-140.ec2.internal,metrics,otel-o11y-ob3-business-metrics-opentelemetry-collector-584689cd5f,Deployment,c7g.2xlarge,1
metrics,ip-172-16-212-140.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.2xlarge,1
metrics,ip-172-16-212-140.ec2.internal,metrics,otel-o11y-system-metrics-janus-delta-acm-opentelemetry-collecto-7dbd4d7976,Deployment,c7g.2xlarge,1
metrics,ip-172-16-214-165.ec2.internal,metrics,otel-o11y-ob3-business-metrics-opentelemetry-collector-584689cd5f,Deployment,c7g.2xlarge,1
metrics,ip-172-16-214-165.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.2xlarge,1
metrics,ip-172-16-214-165.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.2xlarge,1
metrics,ip-172-16-214-165.ec2.internal,metrics,otel-o11y-ob3-system-metrics-merchant-journey-opentelemetry-col-7d5b948747,Deployment,c7g.2xlarge,1
metrics,ip-172-16-214-165.ec2.internal,metrics,otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry-coll-5548f5c754,Deployment,c7g.2xlarge,1
metrics,ip-172-16-214-53.ec2.internal,metrics,otel-o11y-ob3-business-metrics-opentelemetry-collector-584689cd5f,Deployment,c7g.4xlarge,1
metrics,ip-172-16-214-53.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.4xlarge,1
metrics,ip-172-16-214-53.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.4xlarge,1
metrics,ip-172-16-214-53.ec2.internal,metrics,otel-o11y-ob3-system-metrics-merchant-journey-opentelemetry-col-7d5b948747,Deployment,c7g.4xlarge,1
metrics,ip-172-16-214-53.ec2.internal,metrics,otel-o11y-system-metrics-janus-delta-acm-opentelemetry-collecto-7dbd4d7976,Deployment,c7g.4xlarge,2
metrics,ip-172-16-216-48.ec2.internal,metrics,otel-o11y-system-metrics-janus-balancer-delta-acm-opentelemetry-78c5dcd5b8,Deployment,r7g.2xlarge,1
metrics,ip-172-16-216-83.ec2.internal,metrics,otel-o11y-ob3-system-metrics-default-opentelemetry-collector-75b6d779d,Deployment,c7g.2xlarge,1
metrics,ip-172-16-216-83.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.2xlarge,1
metrics,ip-172-16-216-83.ec2.internal,metrics,otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry-coll-5548f5c754,Deployment,c7g.2xlarge,1
metrics,ip-172-16-216-83.ec2.internal,metrics,otel-o11y-system-metrics-janus-delta-acm-opentelemetry-collecto-7dbd4d7976,Deployment,c7g.2xlarge,1
metrics,ip-172-16-224-251.ec2.internal,metrics,otel-o11y-ob3-business-metrics-opentelemetry-collector-584689cd5f,Deployment,m7g.2xlarge,1
metrics,ip-172-16-224-251.ec2.internal,metrics,otel-o11y-ob3-system-metrics-default-opentelemetry-collector-75b6d779d,Deployment,m7g.2xlarge,1
metrics,ip-172-16-224-251.ec2.internal,metrics,otel-o11y-ob3-system-metrics-merchant-journey-opentelemetry-col-7d5b948747,Deployment,m7g.2xlarge,2
metrics,ip-172-16-224-251.ec2.internal,metrics,otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry-coll-5548f5c754,Deployment,m7g.2xlarge,1
metrics,ip-172-16-228-19.ec2.internal,metrics,otel-o11y-system-metrics-janus-balancer-delta-acm-opentelemetry-78c5dcd5b8,Deployment,r7g.2xlarge,1
metrics,ip-172-16-229-4.ec2.internal,metrics,otel-o11y-ob3-business-metrics-opentelemetry-collector-584689cd5f,Deployment,c7g.2xlarge,1
metrics,ip-172-16-229-4.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.2xlarge,1
metrics,ip-172-16-229-4.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.2xlarge,1
metrics,ip-172-16-229-4.ec2.internal,metrics,otel-o11y-ob3-system-metrics-merchant-journey-opentelemetry-col-7d5b948747,Deployment,c7g.2xlarge,1
metrics,ip-172-16-229-4.ec2.internal,metrics,otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry-coll-5548f5c754,Deployment,c7g.2xlarge,1
metrics,ip-172-16-231-178.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.2xlarge,1
metrics,ip-172-16-231-178.ec2.internal,metrics,otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry-coll-5548f5c754,Deployment,c7g.2xlarge,1
metrics,ip-172-16-231-178.ec2.internal,metrics,otel-o11y-system-metrics-janus-delta-acm-opentelemetry-collecto-7dbd4d7976,Deployment,c7g.2xlarge,1
metrics,ip-172-16-238-51.ec2.internal,metrics,otel-o11y-ob3-business-metrics-opentelemetry-collector-584689cd5f,Deployment,c7g.2xlarge,1
metrics,ip-172-16-238-51.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.2xlarge,1
metrics,ip-172-16-238-51.ec2.internal,metrics,otel-o11y-system-metrics-janus-delta-acm-opentelemetry-collecto-7dbd4d7976,Deployment,c7g.2xlarge,1
metrics,ip-172-16-239-142.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.2xlarge,1
metrics,ip-172-16-239-142.ec2.internal,metrics,otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry-coll-5548f5c754,Deployment,c7g.2xlarge,1
metrics,ip-172-16-239-142.ec2.internal,metrics,otel-o11y-ob3-system-metrics-tech-infra-opentelemetry-collector-57d845fbbc,Deployment,c7g.2xlarge,1
metrics,ip-172-16-239-142.ec2.internal,metrics,otel-o11y-system-metrics-janus-delta-acm-opentelemetry-collecto-7dbd4d7976,Deployment,c7g.2xlarge,1
metrics,ip-172-16-240-221.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.2xlarge,1
metrics,ip-172-16-240-221.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.2xlarge,1
metrics,ip-172-16-240-221.ec2.internal,metrics,otel-o11y-system-metrics-janus-delta-acm-opentelemetry-collecto-7dbd4d7976,Deployment,c7g.2xlarge,1
metrics,ip-172-16-244-37.ec2.internal,metrics,otel-o11y-ob3-business-metrics-opentelemetry-collector-584689cd5f,Deployment,c7g.2xlarge,1
metrics,ip-172-16-244-37.ec2.internal,metrics,otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry-coll-5548f5c754,Deployment,c7g.2xlarge,1
metrics,ip-172-16-244-37.ec2.internal,metrics,otel-o11y-ob3-system-metrics-tech-infra-opentelemetry-collector-57d845fbbc,Deployment,c7g.2xlarge,1
metrics,ip-172-16-244-37.ec2.internal,metrics,otel-o11y-system-metrics-janus-delta-acm-opentelemetry-collecto-7dbd4d7976,Deployment,c7g.2xlarge,1
metrics,ip-172-16-248-196.ec2.internal,metrics,otel-o11y-ob3-business-metrics-opentelemetry-collector-584689cd5f,Deployment,c7g.2xlarge,1
metrics,ip-172-16-248-196.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.2xlarge,1
metrics,ip-172-16-248-196.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.2xlarge,1
metrics,ip-172-16-248-196.ec2.internal,metrics,otel-o11y-ob3-system-metrics-merchant-journey-opentelemetry-col-7d5b948747,Deployment,c7g.2xlarge,1
metrics,ip-172-16-248-196.ec2.internal,metrics,otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry-coll-5548f5c754,Deployment,c7g.2xlarge,1
metrics,ip-172-16-249-185.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.2xlarge,1
metrics,ip-172-16-249-185.ec2.internal,metrics,otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry-coll-5548f5c754,Deployment,c7g.2xlarge,1
metrics,ip-172-16-249-185.ec2.internal,metrics,otel-o11y-system-metrics-janus-delta-acm-opentelemetry-collecto-7dbd4d7976,Deployment,c7g.2xlarge,1
metrics,ip-172-16-249-197.ec2.internal,metrics,otel-o11y-system-metrics-janus-balancer-delta-acm-opentelemetry-78c5dcd5b8,Deployment,r7g.2xlarge,1
metrics,ip-172-16-252-24.ec2.internal,metrics,otel-o11y-system-metrics-janus-balancer-delta-acm-opentelemetry-78c5dcd5b8,Deployment,r7g.2xlarge,1
metrics,ip-172-16-255-16.ec2.internal,metrics,otel-o11y-ob3-business-metrics-opentelemetry-collector-584689cd5f,Deployment,c7g.2xlarge,1
metrics,ip-172-16-255-16.ec2.internal,metrics,otel-o11y-ob3-system-metrics-default-opentelemetry-collector-75b6d779d,Deployment,c7g.2xlarge,1
metrics,ip-172-16-255-16.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.2xlarge,1
metrics,ip-172-16-255-16.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.2xlarge,1
metrics,ip-172-16-255-16.ec2.internal,metrics,otel-o11y-ob3-system-metrics-merchant-journey-opentelemetry-col-7d5b948747,Deployment,c7g.2xlarge,1
metrics,ip-172-16-255-16.ec2.internal,metrics,otel-o11y-ob3-system-metrics-o11y-platform-opentelemetry-collec-bb4b97755,Deployment,c7g.2xlarge,1
metrics,ip-172-16-28-104.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.2xlarge,1
metrics,ip-172-16-28-104.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.2xlarge,1
metrics,ip-172-16-28-104.ec2.internal,metrics,otel-o11y-ob3-system-metrics-merchant-journey-opentelemetry-col-7d5b948747,Deployment,c7g.2xlarge,1
metrics,ip-172-16-28-104.ec2.internal,metrics,otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry-coll-5548f5c754,Deployment,c7g.2xlarge,1
metrics,ip-172-16-28-104.ec2.internal,metrics,otel-o11y-ob3-system-metrics-tech-infra-opentelemetry-collector-57d845fbbc,Deployment,c7g.2xlarge,1
metrics,ip-172-16-32-118.ec2.internal,metrics,otel-o11y-system-metrics-janus-balancer-delta-acm-opentelemetry-78c5dcd5b8,Deployment,r7g.2xlarge,1
metrics,ip-172-16-33-88.ec2.internal,metrics,otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry-coll-5548f5c754,Deployment,c7g.4xlarge,1
metrics,ip-172-16-33-88.ec2.internal,metrics,otel-o11y-ob3-system-metrics-tech-infra-beta-opentelemetry-coll-69956d477f,Deployment,c7g.4xlarge,1
metrics,ip-172-16-33-88.ec2.internal,metrics,otel-o11y-system-metrics-janus-delta-acm-opentelemetry-collecto-7dbd4d7976,Deployment,c7g.4xlarge,3
metrics,ip-172-16-35-71.ec2.internal,metrics,otel-o11y-ob3-business-metrics-opentelemetry-collector-584689cd5f,Deployment,c7g.4xlarge,1
metrics,ip-172-16-35-71.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.4xlarge,1
metrics,ip-172-16-35-71.ec2.internal,metrics,otel-o11y-system-metrics-janus-delta-acm-opentelemetry-collecto-7dbd4d7976,Deployment,c7g.4xlarge,3
metrics,ip-172-16-37-2.ec2.internal,metrics,otel-o11y-ob3-business-metrics-opentelemetry-collector-584689cd5f,Deployment,c7g.2xlarge,1
metrics,ip-172-16-37-2.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.2xlarge,2
metrics,ip-172-16-37-2.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.2xlarge,1
metrics,ip-172-16-37-2.ec2.internal,metrics,otel-o11y-ob3-system-metrics-merchant-journey-opentelemetry-col-7d5b948747,Deployment,c7g.2xlarge,1
metrics,ip-172-16-47-198.ec2.internal,metrics,otel-o11y-ob3-system-metrics-developer-journey-opentelemetry-co-786846bd75,Deployment,c7g.2xlarge,1
metrics,ip-172-16-47-198.ec2.internal,metrics,otel-o11y-ob3-system-metrics-janus-opentelemetry-collector-7854cd787,Deployment,c7g.2xlarge,1
