name,timestamp,value,owner_is_controller,cluster,job,instance,owner_kind,namespace,owner_name,replicaset,__replica__
kube_replicaset_owner,1737445200,1,True,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,Deployment,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector,otel-o11y-ob3-af-beta-opentelemetry-collector-68f9779777,prd-ti-o11y-eks-use1-ob3
kube_replicaset_owner,1737445500,1,True,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,Deployment,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector,otel-o11y-ob3-af-beta-opentelemetry-collector-68f9779777,prd-ti-o11y-eks-use1-ob3
kube_replicaset_owner,1737444600,1,True,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,Deployment,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,prd-ti-o11y-eks-use1-ob3
kube_replicaset_owner,1737444900,1,True,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,Deployment,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,prd-ti-o11y-eks-use1-ob3
kube_replicaset_owner,1737445200,1,True,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,Deployment,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,prd-ti-o11y-eks-use1-ob3
kube_replicaset_owner,1737445500,1,True,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,Deployment,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector,otel-o11y-ob3-af-beta-opentelemetry-collector-6965db7874,prd-ti-o11y-eks-use1-ob3
kube_replicaset_owner,1737444600,1,True,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,Deployment,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,prd-ti-o11y-eks-use1-ob3
kube_replicaset_owner,1737444900,1,True,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,Deployment,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,prd-ti-o11y-eks-use1-ob3
kube_replicaset_owner,1737445200,1,True,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,Deployment,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,prd-ti-o11y-eks-use1-ob3
kube_replicaset_owner,1737445500,1,True,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,Deployment,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector,otel-o11y-ob3-af-beta-opentelemetry-collector-6d8cb675db,prd-ti-o11y-eks-use1-ob3
