name,timestamp,value,owner_is_controller,pod,cluster,job,instance,owner_kind,namespace,owner_name,__replica__
kube_pod_owner,1737445200,1,True,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6-kq4rx,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,ReplicaSet,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,prd-ti-o11y-eks-use1-ob3
kube_pod_owner,1737445500,1,True,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6-kq4rx,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,ReplicaSet,activity-flow,otel-o11y-ob3-af-beta-opentelemetry-collector-55fcc786c6,prd-ti-o11y-eks-use1-ob3
kube_pod_owner,1737444600,1,True,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594jqrlk,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,ReplicaSet,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594,prd-ti-o11y-eks-use1-ob3
kube_pod_owner,1737444900,1,True,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594jqrlk,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,ReplicaSet,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594,prd-ti-o11y-eks-use1-ob3
kube_pod_owner,1737445200,1,True,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594jqrlk,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,ReplicaSet,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594,prd-ti-o11y-eks-use1-ob3
kube_pod_owner,1737445500,1,True,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594jqrlk,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,ReplicaSet,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594,prd-ti-o11y-eks-use1-ob3
kube_pod_owner,1737444600,1,True,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594kjv6m,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,ReplicaSet,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594,prd-ti-o11y-eks-use1-ob3
kube_pod_owner,1737444900,1,True,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594kjv6m,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,ReplicaSet,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594,prd-ti-o11y-eks-use1-ob3
kube_pod_owner,1737445200,1,True,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594kjv6m,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,ReplicaSet,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594,prd-ti-o11y-eks-use1-ob3
kube_pod_owner,1737445500,1,True,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594kjv6m,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,ReplicaSet,activity-flow,otel-o11y-ob3-af-stable-opentelemetry-collector-6f95c87594,prd-ti-o11y-eks-use1-ob3
